Item Name,Category Name,SKU,HSN,Unit Name,Alert Quantity,Brand Name,Lot Number,Expire Date, Purchase Price ,Tax Name,Tax Value,Tax Type, Sales Price ,Opening Stock,Barcode
KING LIMAU,SOAP,,,PIECES,5,AZANIA,,," 44,000.00 ",Tax 18%,18,Inclusive," 5,000.00 ",11,
TOSS,SOAP,,,PIECES,5,TOSS,,," 44,000.00 ",Tax 18%,18,Inclusive," 5,000.00 ",11,
RUNGU KUBWA,VIMIMINIKA,,,PIECES,5,RUNGU,,," 45,500.00 ",Tax 18%,18,Inclusive," 8,500.00 ",5,
HIT NDOGO,VIMIMINIKA,,,PIECES,5,HIT,,," 30,500.00 ",Tax 18%,18,Inclusive," 6,000.00 ",5,
SUKARI PACTI,NAFAKA,,,PIECES,5,BROWN SUGAR,,," 54,000.00 ",Tax 18%,18,Inclusive," 3,000.00 ",20,
ALIZETI OIL 3LT,VIMIMINIKA,,,PIECES,5,IKRAAM,,," 115,000.00 ",Tax 18%,18,Inclusive," 22,000.00 ",5,
CHUMVI KUBWA,NAFAKA,,,PIECES,5,NEEL,,," 13,000.00 ",Tax 18%,18,Inclusive, 500.00 ,29,
CHUMVI NDOGO,NAFAKA,,,PIECES,5,NEEL,,," 5,500.00 ",Tax 18%,18,Inclusive, 200.00 ,23,
PRESTIGE 1KG,FOOD & BEVARAGES,,,PIECES,5,PRESTIGE,,," 45,000.00 ",Tax 18%,18,Inclusive," 8,500.00 ",6,
PRESTIGE 500GM,FOOD & BEVARAGES,,,PIECES,5,PRESTIGE,,," 40,000.00 ",Tax 18%,18,Inclusive," 5,500.00 ",8,
PRESTIGE 250GM,FOOD & BEVARAGES,,,PIECES,5,PRESTIGE,,," 30,000.00 ",Tax 18%,18,Inclusive," 3,500.00 ",8,
TOMATO DUMU,FOOD & BEVARAGES,,,PIECES,4,REDGOLD & KING,,," 16,000.00 ",Tax 18%,18,Inclusive," 4,500.00 ",7,
TOMATO & CHILLI KOPO,FOOD & BEVARAGES,,,PIECES,5,REDGOLD & KING,,," 30,000.00 ",Tax 18%,18,Inclusive," 1,500.00 ",7,
