Item Name,Category Name,SKU,HSN,Unit Name,Alert Quantity,Brand Name,Lot Number,Expire Date,Purchase Price,Tax Name,Tax Value,Tax Type,Sales Price,Opening Stock,Barcode
KING LIMAU,SOAP,,,PIECES,5,AZANIA,,,"3,166.67",Tax 18%,18,Inclusive,"4,500.00",11,
TOSS,SOAP,,,PIECES,5,TOSS,,,"3,666.67",Tax 18%,18,Inclusive,"5,000.00",11,
RUNGU KUBWA,VIMIMINIKA,,,PIECES,5,RUNGU,,,"7,583.33",Tax 18%,18,Inclusive,"8,500.00",5,
RUNGU NDOGO,VIMIMINIKA,,,PIECES,5,RUNGU,,,"5,083.33",Tax 18%,18,Inclusive,"6,000.00",6,
HIT NDOGO,VIMIMINIKA,,,PIECES,5,HIT,,,"5,083.33",Tax 18%,18,Inclusive,"6,000.00",5,
SUKARI PACTI,NAFAKA,,,PIECES,5,BROWN SUGAR,,,"2,700.00",Tax 18%,18,Inclusive,"3,000.00",20,
ALIZETI OIL 3LT,VIMIMINIKA,,,PIECES,5,IKRAAM,,,"19,166.67",Tax 18%,18,Inclusive,"21,000.00",5,
CHUMVI KUBWA,NAFAKA,,,PIECES,5,NEEL,,,433.33,Tax 18%,18,Inclusive,500.00,29,
CHUMVI NDOGO,NAFAKA,,,PIECES,5,NEEL,,,183.33,Tax 18%,18,Inclusive,200.00,23,
PRESTIGE 1KG,FOOD & BEVARAGES,,,PIECES,5,PRESTIGE,,,"7,500.00",Tax 18%,18,Inclusive,"8,500.00",6,
PRESTIGE 500GM,FOOD & BEVARAGES,,,PIECES,5,PRESTIGE,,,"3,333.33",Tax 18%,18,Inclusive,"5,500.00",8,
PRESTIGE 250GM,FOOD & BEVARAGES,,,PIECES,5,PRESTIGE,,,"2,500.00",Tax 18%,18,Inclusive,"3,500.00",8,
TOMATO DUMU,FOOD & BEVARAGES,,,PIECES,4,REDGOLD & KING,,,"4,000.00",Tax 18%,18,Inclusive,"4,500.00",7,
TOMATO & CHILLI KOPO,FOOD & BEVARAGES,,,PIECES,5,REDGOLD & KING,,,"1,250.00",Tax 18%,18,Inclusive,"1,500.00",7,
MAZIWA YA KOPO,FOOD & BEVARAGES,,,PIECES,9,LACTOGEN,,,"13,333.33",Tax 18%,18,Inclusive,"16,000.00",5,
MAZIWA YA KOPO,FOOD & BEVARAGES,,,PIECES,6,NIDO,,,"15,000.00",Tax 18%,18,Inclusive,"17,000.00",6,
MAZIWA YA KOPO,FOOD & BEVARAGES,,,PIECES,6,AL MUDHISH,,,"9,166.67",Tax 18%,18,Inclusive,"12,000.00",6,
KAHAWA 100GM,FOOD & BEVARAGES,,,PIECES,5,AFRICAFE,,,"10,583.33",Tax 18%,18,Inclusive,"11,500.00",6,
KAHAWA 50GM,FOOD & BEVARAGES,,,PIECES,5,AFRICAFE,,,"6,083.33",Tax 18%,18,Inclusive,"7,000.00",6,
BLUE BAND 500GM,FOOD & BEVARAGES,,,PIECES,6,BLUE BAND,,,"5,666.67",Tax 18%,18,Inclusive,"6,500.00",4,
BLUE BAND 250GM,FOOD & BEVARAGES,,,PIECES,12,BLUE BAND,,,"3,166.67",Tax 18%,18,Inclusive,"3,500.00",12,
BLUE BAND 100GM,FOOD & BEVARAGES,,,PIECES,12,BLUE BAND,,,"1,000.00",Tax 18%,18,Inclusive,"1,500.00",29,
KIMBO,FOOD & BEVARAGES,,,PIECES,12,KIMBO,,,"3,750.00",Tax 18%,18,Inclusive,"4,000.00",11,
DETTOL 500ML,SOAP,,,PIECES,5,DETTOL,,,"7,916.67",Tax 18%,18,Inclusive,"8,500.00",6,
DETTOL 250ML,SOAP,,,PIECES,5,DETTOL,,,"5,333.33",Tax 18%,18,Inclusive,"6,000.00",4,
TOMATO PACTI,FOOD & BEVARAGES,,,PIECES,5,REDGOLD,,,266.67,Tax 18%,18,Inclusive,500.00,24,
NAZI PACTI,VIMIMINIKA,,,PIECES,5,GSM,,,833.33,Tax 18%,18,Inclusive,"1,000.00",32,
ROYCO KOPO,FOOD & BEVARAGES,,,PIECES,5,ROYCO,,,"2,266.67",Tax 18%,18,Inclusive,"2,500.00",22,
HAND WASH,VIMIMINIKA,,,PIECES,5,HOBBY,,,"2,708.33",Tax 18%,18,Inclusive,"3,500.00",12,
HAND WASH,VIMIMINIKA,,,PIECES,5,DEXI,,,"1,875.00",Tax 18%,18,Inclusive,"2,500.00",7,
HAND WASH,VIMIMINIKA,,,PIECES,5,BIOX,,,"1,875.00",Tax 18%,18,Inclusive,"2,500.00",6,
PRINGLES,NAFAKA,,,PIECES,5,PRINGLES,,,"2,583.33",Tax 18%,18,Inclusive,"3,500.00",9,
JAM,FOOD & BEVARAGES,,,PIECES,5,REDGOLD,,,"2,750.00",Tax 18%,18,Inclusive,"3,500.00",11,
BEEF & FISH MASALA,NAFAKA,,,PIECES,5,BEEF MASALA,,,"2,500.00",Tax 18%,18,Inclusive,"3,000.00",12,
MAYONNAISE,VIMIMINIKA,,,PIECES,5,ALFA,,,"5,000.00",Tax 18%,18,Inclusive,"6,000.00",5,
MAFUTA 5L,VIMIMINIKA,,,PIECES,5,KORIE,,,"24,250.00",Tax 18%,18,Inclusive,"28,000.00",4,
MAFUTA 3L,VIMIMINIKA,,,PIECES,5,KORIE,,,"16,333.33",Tax 18%,18,Inclusive,"18,000.00",6,
MAFUTA 1L,VIMIMINIKA,,,PIECES,5,KORIE,,,"5,166.67",Tax 18%,18,Inclusive,"5,500.00",10,
MAFUTA NAZI 150ML,VIMIMINIKA,,,PIECES,5,HALISI,,,"1,333.33",Tax 18%,18,Inclusive,"1,500.00",20,
MAFUTA NAZI 150ML,VIMIMINIKA,,,PIECES,5,MINARA,,,"1,416.67",Tax 18%,18,Inclusive,"2,000.00",11,
MAFUTA NAZI 70ML,VIMIMINIKA,,,PIECES,5,HALISI,,,583.33,Tax 18%,18,Inclusive,"1,000.00",22,
