Item Name,Category Name,SKU,HSN,Unit Name,Alert Quantity,Brand Name,Lot Number,Expire Date,Purchase Price,Tax Name,Tax Value,Tax Type,Sales Price,Opening Stock,Barcode
KING LIMAU,SOAP,,,PIECES,5,AZANIA,,,3166.67,Tax 18%,18,Inclusive,4500,11,
TOSS,SOAP,,,PIECES,5,TOSS,,,3666.67,Tax 18%,18,Inclusive,5000,11,
RUNGU KUBWA,VIMIMINIKA,,,PIECES,5,RUNGU,,,7583.33,Tax 18%,18,Inclusive,8500,5,
RUNGU NDOGO,VIMIMINIKA,,,PIECES,5,RUNGU,,,5083.33,Tax 18%,18,Inclusive,6000,6,
HIT NDOGO,VIMIMINIKA,,,PIECES,5,HIT,,,5083.33,Tax 18%,18,Inclusive,6000,5,
SUKARI PACTI,NAFAKA,,,PIECES,5,BROWN SUGAR,,,2700,Tax 18%,18,Inclusive,3000,20,
ALIZETI OIL 3LT,VIMIMINIKA,,,PIECES,5,IKRAAM,,,19166.67,Tax 18%,18,Inclusive,21000,5,
CHUMVI KUBWA,NAFAKA,,,PIECES,5,NEEL,,,433.33,Tax 18%,18,Inclusive,500,29,
CHUMVI NDOGO,NAFAKA,,,PIECES,5,NEEL,,,183.33,Tax 18%,18,Inclusive,200,23,
PRESTIGE 1KG,FOOD & BEVARAGES,,,PIECES,5,PRESTIGE,,,7500,Tax 18%,18,Inclusive,8500,6,
PRESTIGE 500GM,FOOD & BEVARAGES,,,PIECES,5,PRESTIGE,,,3333.33,Tax 18%,18,Inclusive,5500,8,
PRESTIGE 250GM,FOOD & BEVARAGES,,,PIECES,5,PRESTIGE,,,2500,Tax 18%,18,Inclusive,3500,8,
TOMATO DUMU,FOOD & BEVARAGES,,,PIECES,4,REDGOLD & KING,,,4000,Tax 18%,18,Inclusive,4500,7,
TOMATO & CHILLI KOPO,FOOD & BEVARAGES,,,PIECES,5,REDGOLD & KING,,,1250,Tax 18%,18,Inclusive,1500,7,
MAZIWA YA KOPO,FOOD & BEVARAGES,,,PIECES,9,LACTOGEN,,,13333.33,Tax 18%,18,Inclusive,16000,5,
MAZIWA YA KOPO,FOOD & BEVARAGES,,,PIECES,6,NIDO,,,15000,Tax 18%,18,Inclusive,17000,6,
MAZIWA YA KOPO,FOOD & BEVARAGES,,,PIECES,6,AL MUDHISH,,,9166.67,Tax 18%,18,Inclusive,12000,6,
KAHAWA 100GM,FOOD & BEVARAGES,,,PIECES,5,AFRICAFE,,,10583.33,Tax 18%,18,Inclusive,11500,6,
KAHAWA 50GM,FOOD & BEVARAGES,,,PIECES,5,AFRICAFE,,,6083.33,Tax 18%,18,Inclusive,7000,6,
BLUE BAND 500GM,FOOD & BEVARAGES,,,PIECES,6,BLUE BAND,,,5666.67,Tax 18%,18,Inclusive,6500,4,
BLUE BAND 250GM,FOOD & BEVARAGES,,,PIECES,12,BLUE BAND,,,3166.67,Tax 18%,18,Inclusive,3500,12,
BLUE BAND 100GM,FOOD & BEVARAGES,,,PIECES,12,BLUE BAND,,,1000,Tax 18%,18,Inclusive,1500,29,
KIMBO,FOOD & BEVARAGES,,,PIECES,12,KIMBO,,,3750,Tax 18%,18,Inclusive,4000,11,
DETTOL 500ML,SOAP,,,PIECES,5,DETTOL,,,7916.67,Tax 18%,18,Inclusive,8500,6,
DETTOL 250ML,SOAP,,,PIECES,5,DETTOL,,,5333.33,Tax 18%,18,Inclusive,6000,4,
TOMATO PACTI,FOOD & BEVARAGES,,,PIECES,5,REDGOLD,,,266.67,Tax 18%,18,Inclusive,500,24,
NAZI PACTI,VIMIMINIKA,,,PIECES,5,GSM,,,833.33,Tax 18%,18,Inclusive,1000,32,
ROYCO KOPO,FOOD & BEVARAGES,,,PIECES,5,ROYCO,,,2266.67,Tax 18%,18,Inclusive,2500,22,
HAND WASH,VIMIMINIKA,,,PIECES,5,HOBBY,,,2708.33,Tax 18%,18,Inclusive,3500,12,
HAND WASH,VIMIMINIKA,,,PIECES,5,DEXI,,,1875,Tax 18%,18,Inclusive,2500,7,
HAND WASH,VIMIMINIKA,,,PIECES,5,BIOX,,,1875,Tax 18%,18,Inclusive,2500,6,
PRINGLES,NAFAKA,,,PIECES,5,PRINGLES,,,2583.33,Tax 18%,18,Inclusive,3500,9,
JAM,FOOD & BEVARAGES,,,PIECES,5,REDGOLD,,,2750,Tax 18%,18,Inclusive,3500,11,
BEEF & FISH MASALA,NAFAKA,,,PIECES,5,BEEF MASALA,,,2500,Tax 18%,18,Inclusive,3000,12,
MAYONNAISE,VIMIMINIKA,,,PIECES,5,ALFA,,,5000,Tax 18%,18,Inclusive,6000,5,
MAFUTA 5L,VIMIMINIKA,,,PIECES,5,KORIE,,,24250,Tax 18%,18,Inclusive,28000,4,
MAFUTA 3L,VIMIMINIKA,,,PIECES,5,KORIE,,,16333.33,Tax 18%,18,Inclusive,18000,6,
MAFUTA 1L,VIMIMINIKA,,,PIECES,5,KORIE,,,5166.67,Tax 18%,18,Inclusive,5500,10,
MAFUTA NAZI 150ML,VIMIMINIKA,,,PIECES,5,HALISI,,,1333.33,Tax 18%,18,Inclusive,1500,20,
MAFUTA NAZI 150ML,VIMIMINIKA,,,PIECES,5,MINARA,,,1416.67,Tax 18%,18,Inclusive,2000,11,
MAFUTA NAZI 70ML,VIMIMINIKA,,,PIECES,5,HALISI,,,583.33,Tax 18%,18,Inclusive,1000,22,
MAFUTA NAZI 500ML,VIMIMINIKA,,,PIECES,5,PARACHUTE,,,7083.33,Tax 18%,18,Inclusive,9000,6,
MAFUTA NAZI 200ML,VIMIMINIKA,,,PIECES,5,PARACHUTE,,,3000,Tax 18%,18,Inclusive,3500,9,
MAFUTA NAZI 100ML,VIMIMINIKA,,,PIECES,5,PARACHUTE,,,2166.67,Tax 18%,18,Inclusive,2500,14,
MAFUTANAZI 50ML,VIMIMINIKA,,,PIECES,5,PARACHUTE,,,1500,Tax 18%,18,Inclusive,2000,21,
MAFUTA NYWELE 50ML,VIMIMINIKA,,,PIECES,5,BODY LUXE,,,666.67,Tax 18%,18,Inclusive,1000,12,
NGANO,NAFAKA,,,PIECES,5,AZAM P.P.F,,,1916.67,Tax 18%,18,Inclusive,2800,19,
NGANO,NAFAKA,,,PIECES,5,AZAM FLOUR ,,,1500,Tax 18%,18,Inclusive,2000,14,
TEA MASALA KOPO,NAFAKA,,,PIECES,5,TROPICAL HEAT,,,5666.67,Tax 18%,18,Inclusive,7000,6,
VANILLA,VIMIMINIKA,,,PIECES,5,NANDI,,,1250,Tax 18%,18,Inclusive,2000,12,
BAKING POWDER,NAFAKA,,,PIECES,5,CHAPA MANDASHI,,,750,Tax 18%,18,Inclusive,1000,11,
TEA MASALA PACTI,NAFAKA,,,PIECES,5,TROPICAL HEAT,,,750,Tax 18%,18,Inclusive,1000,23,
MAFUTA KUPAKA 100G,VIMIMINIKA,,,PIECES,5,SKALA,,,916.67,Tax 18%,18,Inclusive,1000,12,
MAFUTA KUPAKA 50G,VIMIMINIKA,,,PIECES,5,SKALA,,,541.67,Tax 18%,18,Inclusive,700,12,
MAFUTA KUPAKA 100G,VIMIMINIKA,,,PIECES,5,BABYCARE,,,916.67,Tax 18%,18,Inclusive,1000,11,
MAFUTA KUPAKA 25G,VIMIMINIKA,,,PIECES,5,BABYCARE,,,200,Tax 18%,18,Inclusive,300,10,
MAFUTA KUPAKA 100G,VIMIMINIKA,,,PIECES,5,BOSS,,,916.67,Tax 18%,18,Inclusive,1000,6,
MAFUTA KUPAKA 100G,VIMIMINIKA,,,PIECES,5,HERBAL,,,916.67,Tax 18%,18,Inclusive,1000,12,
MAFUTA KUPAKA 50G,VIMIMINIKA,,,PIECES,5,HERBAL,,,541.67,Tax 18%,18,Inclusive,700,10,
MAFUTA KUPAKA 25G,VIMIMINIKA,,,PIECES,5,HERBAL,,,200,Tax 18%,18,Inclusive,300,24,
MAFUTA KUPAKA 95ML,VIMIMINIKA,,,PIECES,5,VASELINE,,,2500,Tax 18%,18,Inclusive,3000,12,
MAFUTA KUPAKA 45ML,VIMIMINIKA,,,PIECES,5,VASELINE,,,1666.67,Tax 18%,18,Inclusive,2000,12,
MAFUTA KUPAKA 25ML,VIMIMINIKA,,,PIECES,5,VASELINE,,,750,Tax 18%,18,Inclusive,1000,23,
MAFUTA KUPAKA 25G,VIMIMINIKA,,,PIECES,5,AFROCARE,,,200,Tax 18%,18,Inclusive,300,12,
MAFUTA KUPAKA 25G,VIMIMINIKA,,,PIECES,5,VESTLINE,,,200,Tax 18%,18,Inclusive,300,12,
BISCUIT TIK TOK,SNACKS,,,BOX,5,MAMA TIK TOK,,,1791.67,Tax 18%,18,Inclusive,3000,23,
BISCUIT EETSUM,SNACKS,,,BOX,5,EET-SUM MORE,,,3916.67,Tax 18%,18,Inclusive,5500,12,
BISCUIT LOYAL CREAM,SNACKS,,,BOX,5,LOYAL CREAM,,,500,Tax 18%,18,Inclusive,600,14,
CHOCKLATE ALPELLA,SNACKS,,,PIECES,5,ALPELLA,,,555.56,Tax 18%,18,Inclusive,1000,14,
CHOCKLATE BREAK,SNACKS,,,PIECES,5,BREAK DELIGHT,,,777.78,Tax 18%,18,Inclusive,1000,9,
CHOCKLATE YUNKERS,SNACKS,,,PIECES,5,SNIKKER,,,833.33,Tax 18%,18,Inclusive,1000,12,
CHOCKLATE SNIKKERS ,SNACKS,,,PIECES,5,SNIKKER,,,916.67,Tax 18%,18,Inclusive,1500,19,
CHOCKLATE RUBYS,SNACKS,,,PIECES,5,RUBYS MAGIC,,,1458.33,Tax 18%,18,Inclusive,1800,24,
CHOCKLATE FIORY,SNACKS,,,PIECES,5,FIORY,,,833.33,Tax 18%,18,Inclusive,1000,12,
KARANGA GET FRESH,SNACKS,,,PIECES,5,GETFRESH,,,800,Tax 18%,18,Inclusive,1300,18,
TOMATO KINGS DUMU 5LIT,VIMIMINIKA,,,PIECES,5,KING,,,4500,Tax 18%,18,Inclusive,4500,8,
BUBLISH PK,SNACKS,,,PIECES,5,BUBLISH,,,500,Tax 18%,18,Inclusive,1000,60,
BUBLISH PK NDOGO,SNACKS,,,PIECES,5,BUBLISH,,,170,Tax 18%,18,Inclusive,250,0,
KAHAWA 1.6G,FOOD & BEVARAGES,,,PIECES,5,AFRICAFE,,,180,Tax 18%,18,Inclusive,200,100,
MAJANI CHAI BORA 100GM,FOOD & BEVARAGES,,,PIECES,5,CHAI BORA,,,2916.67,Tax 18%,18,Inclusive,3500,12,
MAJANI CHAI KILIMANJARO 100GM,FOOD & BEVARAGES,,,PIECES,5,KILIMANJARO,,,2750,Tax 18%,18,Inclusive,3200,5,
MAJANI A PRIDE 100GM,FOOD & BEVARAGES,,,PIECES,5,AFRCAN PRIDE,,,3000,Tax 18%,18,Inclusive,3500,6,
MAJANI GREEN LABEL 100GM,FOOD & BEVARAGES,,,PIECES,5,GREEN LABEL,,,1125,Tax 18%,18,Inclusive,1500,12,
MAJANI GREEN LABEL 50GM,FOOD & BEVARAGES,,,PIECES,5,GREEN LABEL,,,535.71,Tax 18%,18,Inclusive,800,28,
SABUNI MAQ 250gm,SOAP,,,PIECES,5,MAQ,,,1875,Tax 18%,18,Inclusive,2300,25,
PADS HQ,PERSONAL CARE,,,PIECES,5,HQ,,,3333.33,Tax 18%,18,Inclusive,3500,17,
BABY WIPES SOFTCARE,BABY CARE,,,PIECES,5,SOFTCARE,,,2666.67,Tax 18%,18,Inclusive,3500,13,
BABY WIPES BREEZE,BABY CARE,,,PIECES,5,BREEZE,,,2500,Tax 18%,18,Inclusive,3500,12,
PADS LAVY,PERSONAL CARE,,,PIECES,5,LAVY,,,2708.33,Tax 18%,18,Inclusive,4000,24,
OMO 1KG,SOAP,,,PIECES,5,OMO,,,6250,Tax 18%,18,Inclusive,7500,5,
PADS SOFTCARE ,PERSONAL CARE,,,PIECES,5,SOFTCARE,,,1500,Tax 18%,18,Inclusive,2000,44,
BABY WIPES ROYAL,BABY CARE,,,PIECES,5,ROYAL,,,3750,Tax 18%,18,Inclusive,5000,23,
BABY WIPES SLEEPS,BABY CARE,,,PIECES,5,SLEEPS,,,3750,Tax 18%,18,Inclusive,5000,12,
BABY WIPES MIMA,BABY CARE,,,PIECES,5,MINA,,,3750,Tax 18%,18,Inclusive,5000,12,
TISUE VIVA,PERSONAL CARE,,,PIECES,5,SUPERSOFT,,,875,Tax 18%,18,Inclusive,1500,29,
TISUE NAPTKIN,PERSONAL CARE,,,PIECES,5,NAPTKIN,,,875,Tax 18%,18,Inclusive,1500,9,
PADS CATHY,PERSONAL CARE,,,PIECES,5,CATHY,,,3333.33,Tax 18%,18,Inclusive,5000,21,
PAMPAS SLEEP,BABY CARE,,,PIECES,5,SLEEPS,,,14400,Tax 18%,18,Inclusive,15500,5,
PAMPAS BABY CHICK,BABY CARE,,,PIECES,5,BABY CHICK,,,3333.33,Tax 18%,18,Inclusive,4500,9,
PAPAS BABY CHICK LARGE,BABY CARE,,,PIECES,5,BABY CHICK,,,12500,Tax 18%,18,Inclusive,14000,4,
PAMPAS SOFTCARE SMALL,BABY CARE,,,PIECES,5,SOFTCARE,,,3750,Tax 18%,18,Inclusive,4500,9,
PAMPAS SOFTCARE MEDIUM,BABY CARE,,,PIECES,5,SOFTCARE,,,13666.67,Tax 18%,18,Inclusive,15000,14,
PAMPAS SOFTCARE LARGE,BABY CARE,,,PIECES,5,SOFTCARE,,,20000,Tax 18%,18,Inclusive,24000,5,
OMO 40g,SOAP,,,PIECES,5,OMO,,,328.57,Tax 18%,18,Inclusive,600,70,
SABUNI MARAHABA 500g,SOAP,,,PIECES,5,MARAHABA,,,1033.33,Tax 18%,18,Inclusive,1200,23,
SABUNI DOFI 500g,SOAP,,,PIECES,5,DOFI,,,1033.33,Tax 18%,18,Inclusive,1200,27,
OMO 500g,SOAP,,,PIECES,5,OMO,,,4083.33,Tax 18%,18,Inclusive,5000,6,
ARIEL 500g,SOAP,,,PIECES,5,ARIEL,,,4083.33,Tax 18%,18,Inclusive,5000,5,
SABUNI MARAHABA180g,SOAP,,,PIECES,5,MARAHABA,,,425,Tax 18%,18,Inclusive,500,37,
OMO 200g,SOAP,,,PIECES,5,OMO,,,1562.5,Tax 18%,18,Inclusive,1562.5,24,
SABUNI DOLPHY 180g,SOAP,,,PIECES,5,NICEONE,,,450,Tax 18%,18,Inclusive,500,40,
SABUNI NICEONE 400g,SOAP,,,PIECES,5,NICEONE,,,708.33,Tax 18%,18,Inclusive,1000,21,
SABUNI NICEONE 180g,SOAP,,,PIECES,5,NICEONE,,,450,Tax 18%,18,Inclusive,500,33,
SABUNI JAMAA & WHITE WASH,SOAP,,,PIECES,5,JAMAA,,,3041.67,Tax 18%,18,Inclusive,3500,16,
SABUNI MAGADI,SOAP,,,PIECES,5,MAGADI,,,2583.33,Tax 18%,18,Inclusive,3000,10,
SABUNI ALOVERA,SOAP,,,PIECES,5,ALOVERA,,,1166.67,Tax 18%,18,Inclusive,1500,12,
SABUNI TETMOSO wakubwa,SOAP,,,PIECES,5,TETMOSO,,,1833.33,Tax 18%,18,Inclusive,2500,12,
SABUNI TETMOSO watoto,SOAP,,,PIECES,5,TETMOSO,,,1833.33,Tax 18%,18,Inclusive,2500,12,
SABUNI PROTEX herbal,SOAP,,,PIECES,5,PROTEX,,,2083.33,Tax 18%,18,Inclusive,2500,12,
SABUNI PROTEX herbal ndogo,SOAP,,,PIECES,5,PROTEX,,,1500,Tax 18%,18,Inclusive,2000,12,
SABUNI IMPERIAL ndogo,SOAP,,,PIECES,5,IMPERIAL,,,1333.33,Tax 18%,18,Inclusive,2500,22,
SABUNI IMPERIAL kubwa,SOAP,,,PIECES,5,IMPERIAL,,,1916.67,Tax 18%,18,Inclusive,3000,22,
SABUNI DETOL ORIGINAL 175g,SOAP,,,PIECES,5,DETTOL,,,2083.33,Tax 18%,18,Inclusive,3000,10,
SABUNI DETOL ORIGINAL ndogo,SOAP,,,PIECES,5,DETTOL,,,1250,Tax 18%,18,Inclusive,1500,10,
SABUNI Pears,SOAP,,,PIECES,5,PEARS,,,2833.33,Tax 18%,18,Inclusive,3500,12,
SABUNI Life buoy,SOAP,,,PIECES,5,LIFE BUOY,,,2166.67,Tax 18%,18,Inclusive,3000,12,
SABUNI Junior 100g,SOAP,,,PIECES,5,DETTOL,,,1333.33,Tax 18%,18,Inclusive,2000,12,
SABUNI DETOL SKIN CARE 100mg,SOAP,,,PIECES,5,DETTOL,,,1333.33,Tax 18%,18,Inclusive,2000,4,
SABUNI DETOL COOL 100g,SOAP,,,PIECES,5,DETTOL,,,1333.33,Tax 18%,18,Inclusive,2000,5,
SABUNI DRS 80g,SOAP,,,PIECES,5,DRS,,,364.58,Tax 18%,18,Inclusive,500,43,
SABUNI MO BEAUTY,SOAP,,,PIECES,5,MO,,,364.58,Tax 18%,18,Inclusive,500,12,
SABUNI FAMILY,SOAP,,,PIECES,5,FAMILY,,,364.58,Tax 18%,18,Inclusive,500,7,
SABUNI RUNGU ,SOAP,,,PIECES,5,RUNGU,,,364.58,Tax 18%,18,Inclusive,500,9,
SABUNN MAGADI vipande,SOAP,,,PIECES,5,MAGADI,,,31.67,Tax 18%,18,Inclusive,100,136,
COLGATE HERBAL 175g,PERSONAL CARE,,,PIECES,5,COLGATE,,,4583.33,Tax 18%,18,Inclusive,5500,6,
colgate protection 140g,PERSONAL CARE,,,PIECES,5,COLGATE,,,3166.67,Tax 18%,18,Inclusive,5000,18,
COLGATE 35g,PERSONAL CARE,,,PIECES,5,COLGATE,,,1250,Tax 18%,18,,1500,12,
COLGATE HERBAL 70g,PERSONAL CARE,,,PIECES,5,COLGATE,,,2250,Tax 18%,18,,3000,12,
COLGATE PROTECTION 15g,PERSONAL CARE ,,,PIECES,5,COLGATE,,,625,Tax 18%,18,,1000,24,
COLGATE PROTECTION 70g,PERSONAL CARE ,,,PIECES,5,COLGATE,,,2250,Tax 18%,18,,3000,12,
COLGATE MAX FRESH 125g,PERSONAL CARE,,,PIECES,5,COLGATE,,,3166.67,Tax 18%,18,,4000,11,
COLGATE CHARCOL 120g,PERSONAL CARE,,,PIECES,5,COLGATE,,,3916.67,Tax 18%,18,,5500,10,
COLGATE CHARCOL 35g,PERSONAL CARE,,,PIECES,5,COLGATE,,,1250,Tax 18%,18,,1500,12,
WHITEDENT 250g,PERSONAL CARE,,,PIECES,5,WHITEDENT,,,4166.67,Tax 18%,18,,4500,6,
WHITEDENT 70g,PERSONAL CARE,,,PIECES,5,WHITEDENT,,,1500,Tax 18%,18,,2000,23,
WHITEDENT 80g,PERSONAL CARE,,,PIECES,5,WHITEDENT,,,1666.67,Tax 18%,18,,2000,24,
WHITEDENT 20g,PERSONAL CARE,,,PIECES,5,WHITEDENT,,,500,Tax 18%,18,,700,34,
WHITEDENT CHARCOL 70g,PERSONAL CARE,,,PIECES,5,WHITEDENT,,,2083.33,Tax 18%,18,,2500,10,
TOILET PAPER ,PERSONAL CARE,,,PIECES,5,TOILET PAPER ,,,800,Tax 18%,18,,1000,18,
